stationid,latitude,longitude,depth,stationdepthunits,areaweight,replicate,sampledate,taxon,abundance,exclude,stratum,finalstratum,salinity,areaweight_all_sites
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Musculista senhousia,60,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Protohyale sp,58,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Metridium sp,51,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Petaloclymene pacifica,49,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Elasmopus bampo,48,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Astyris aurantiaca,44,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Bemlos macromanus,34,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Leucothoe alata,28,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Tellina meropsis,21,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Acromegalomma pigmentum,19,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Maldanidae,17,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Odontosyllis phosphorea,16,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Syllis gracilis Cmplx,12,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Bemlos sp,9,Yes,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Chondrochelia dubia Cmplx,8,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Euphilomedes carcharodonta,7,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Hippolyte californiensis,7,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Pseudopolydora paucibranchiata,7,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Ericthonius brasiliensis,6,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Fabricinuda limnicola,6,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Acteocina carinata,5,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Oligochaeta,5,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Scoletoma sp C,4,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Spirorbidae,4,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Nasageneia quinsana,3,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Amphipholis squamata,2,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Armandia brevis,2,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Leptosynapta sp,2,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Mediomastus sp,2,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Rudilemboides stenopropodus,2,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Exogone lourei,1,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Mayerella acanthopoda,1,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Phoronis sp,1,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Schmittius politus,1,No,Bays,Bays,-88,1.4566601
B18-10043,32.61634603,-117.1031998,2,m,1.4566601,1,8/14/2018,Siriella pacifica,1,No,Bays,Bays,-88,1.4566601
B18-10044,32.61409,-117.09877,4,m,1.4566601,1,8/14/2018,Acteocina carinata,61,No,Bays,Bays,-88,1.4566601
B18-10044,32.61409,-117.09877,4,m,1.4566601,1,8/14/2018,Leitoscoloplos pugettensis,29,No,Bays,Bays,-88,1.4566601
B18-10044,32.61409,-117.09877,4,m,1.4566601,1,8/14/2018,Phoronis sp,6,No,Bays,Bays,-88,1.4566601
B18-10044,32.61409,-117.09877,4,m,1.4566601,1,8/14/2018,Phoronidae,5,Yes,Bays,Bays,-88,1.4566601
B18-10044,32.61409,-117.09877,4,m,1.4566601,1,8/14/2018,Musculista senhousia,4,No,Bays,Bays,-88,1.4566601
B18-10044,32.61409,-117.09877,4,m,1.4566601,1,8/14/2018,Neanthes acuminata Cmplx,3,No,Bays,Bays,-88,1.4566601
B18-10044,32.61409,-117.09877,4,m,1.4566601,1,8/14/2018,Hyalidae,1,No,Bays,Bays,-88,1.4566601
B18-10044,32.61409,-117.09877,4,m,1.4566601,1,8/14/2018,Maldanidae,1,No,Bays,Bays,-88,1.4566601
B18-10044,32.61409,-117.09877,4,m,1.4566601,1,8/14/2018,Mediomastus sp,1,No,Bays,Bays,-88,1.4566601
B18-10044,32.61409,-117.09877,4,m,1.4566601,1,8/14/2018,Oxyurostylis pacifica,1,No,Bays,Bays,-88,1.4566601
B18-10044,32.61409,-117.09877,4,m,1.4566601,1,8/14/2018,Scoletoma sp,1,No,Bays,Bays,-88,1.4566601
B18-10044,32.61409,-117.09877,4,m,1.4566601,1,8/14/2018,Scoletoma sp C,1,No,Bays,Bays,-88,1.4566601
B18-10044,32.61409,-117.09877,4,m,1.4566601,1,8/14/2018,Tellina meropsis,1,No,Bays,Bays,-88,1.4566601
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Leitoscoloplos pugettensis,16,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Phoronis sp,11,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Cossura sp A,10,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Euchone limnicola,10,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Scoletoma sp C,8,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Pseudopolydora paucibranchiata,6,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Prionospio heterobranchia,5,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Phoronidae,4,Yes,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Mediomastus sp,3,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Grandidierella japonica,2,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Spiophanes duplex,2,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Exogone lourei,1,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Glycera americana,1,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Hydroides elegans,1,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Leukoma laciniata,1,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Lineidae,1,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Nutricola cymata,1,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Nutricola tantilla,1,No,Marinas,Marinas,-88,0.37406112
B18-10045,34.25844,-119.2669,3,m,0.37406112,1,8/18/2018,Theora lubrica,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Cossura sp A,61,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Leitoscoloplos pugettensis,44,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Exogone lourei,41,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Mediomastus sp,41,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Monocorophium acherusicum,24,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Chondrochelia dubia Cmplx,23,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Caprella sp,14,Yes,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Euchone limnicola,14,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Notomastus sp,12,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Tubulanus polymorphus,8,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Zeuxo normani Cmplx,7,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Paranemertes californica,6,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Mayerella acanthopoda,5,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Mediomastus sp 6,5,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Tagelus sp,5,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Paramicrodeutopus schmitti,4,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Scoletoma sp C,4,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Amphideutopus oculatus,3,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Capitellidae,3,Yes,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Kirkegaardia serratiseta,3,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Glycera tenuis,2,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Harmothoe sp LA1,2,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Megasyllis nipponica,2,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Oligochaeta,2,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Oxyurostylis pacifica,2,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Rudilemboides stenopropodus,2,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Adula diegensis,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Amphicteis scaphobranchiata,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Amphipholis squamata,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Apionsoma misakianum,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Cirratulidae,1,Yes,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Cumella californica,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Goniada littorea,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Haminoea sp,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Hiatella arctica,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Lineidae,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Lumbrineris sp,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Lyonsia californica,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Nutricola sp,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Onuphidae,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Palaeonemertea,1,Yes,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Paranthura japonica,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Podocerus fulanus,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Polycirrus sp,1,No,Marinas,Marinas,-88,0.37406112
B18-10046,34.1712,-119.2235,3,m,0.37406112,1,8/15/2018,Scoletoma sp,1,Yes,Marinas,Marinas,-88,0.37406112
B18-10047,33.98298,-118.45072,4.8,m,0.37406112,1,9/18/2018,Theora lubrica,31,No,Marinas,Marinas,33.75,0.37406112
B18-10047,33.98298,-118.45072,4.8,m,0.37406112,1,9/18/2018,Mayerella acanthopoda,27,No,Marinas,Marinas,33.75,0.37406112
B18-10047,33.98298,-118.45072,4.8,m,0.37406112,1,9/18/2018,Scoletoma sp,27,No,Marinas,Marinas,33.75,0.37406112
B18-10047,33.98298,-118.45072,4.8,m,0.37406112,1,9/18/2018,Leitoscoloplos pugettensis,5,No,Marinas,Marinas,33.75,0.37406112
B18-10047,33.98298,-118.45072,4.8,m,0.37406112,1,9/18/2018,Euchone limnicola,2,No,Marinas,Marinas,33.75,0.37406112
B18-10047,33.98298,-118.45072,4.8,m,0.37406112,1,9/18/2018,Scoletoma erecta,1,No,Marinas,Marinas,33.75,0.37406112
B18-10048,33.98025,-118.4509,4.4,m,0.37406112,1,9/18/2018,Theora lubrica,12,No,Marinas,Marinas,32.86,0.37406112
B18-10048,33.98025,-118.4509,4.4,m,0.37406112,1,9/18/2018,Mayerella acanthopoda,6,No,Marinas,Marinas,32.86,0.37406112
B18-10048,33.98025,-118.4509,4.4,m,0.37406112,1,9/18/2018,Acteocina carinata,5,No,Marinas,Marinas,32.86,0.37406112
B18-10048,33.98025,-118.4509,4.4,m,0.37406112,1,9/18/2018,Grandidierella japonica,2,No,Marinas,Marinas,32.86,0.37406112
B18-10048,33.98025,-118.4509,4.4,m,0.37406112,1,9/18/2018,Scoletoma sp,2,No,Marinas,Marinas,32.86,0.37406112
B18-10048,33.98025,-118.4509,4.4,m,0.37406112,1,9/18/2018,Musculista senhousia,1,No,Marinas,Marinas,32.86,0.37406112
B18-10048,33.98025,-118.4509,4.4,m,0.37406112,1,9/18/2018,Scoletoma erecta,1,No,Marinas,Marinas,32.86,0.37406112
B18-10049,33.9752,-118.45609,4.8,m,0.37406112,1,9/18/2018,Theora lubrica,41,No,Marinas,Marinas,33.18,0.37406112
B18-10049,33.9752,-118.45609,4.8,m,0.37406112,1,9/18/2018,Scoletoma sp,8,No,Marinas,Marinas,33.18,0.37406112
B18-10049,33.9752,-118.45609,4.8,m,0.37406112,1,9/18/2018,Leitoscoloplos pugettensis,7,No,Marinas,Marinas,33.18,0.37406112
B18-10049,33.9752,-118.45609,4.8,m,0.37406112,1,9/18/2018,Mayerella acanthopoda,5,No,Marinas,Marinas,33.18,0.37406112
B18-10049,33.9752,-118.45609,4.8,m,0.37406112,1,9/18/2018,Grandidierella japonica,3,No,Marinas,Marinas,33.18,0.37406112
B18-10049,33.9752,-118.45609,4.8,m,0.37406112,1,9/18/2018,Acteocina carinata,1,No,Marinas,Marinas,33.18,0.37406112
B18-10049,33.9752,-118.45609,4.8,m,0.37406112,1,9/18/2018,Euchone limnicola,1,No,Marinas,Marinas,33.18,0.37406112
B18-10049,33.9752,-118.45609,4.8,m,0.37406112,1,9/18/2018,Polydora cornuta,1,No,Marinas,Marinas,33.18,0.37406112
B18-10049,33.9752,-118.45609,4.8,m,0.37406112,1,9/18/2018,Scoletoma erecta,1,No,Marinas,Marinas,33.18,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Amphideutopus oculatus,15,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Scoletoma sp,9,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Hartmanodes hartmanae,4,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Mayerella acanthopoda,4,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Pseudopolydora paucibranchiata,4,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Tagelus affinis,3,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Euchone limnicola,2,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Goniada littorea,2,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Malacoplax californiensis,2,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Nephtys caecoides,2,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Theora lubrica,2,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Alpheus californiensis,1,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Leitoscoloplos pugettensis,1,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Lyonsia californica,1,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Mactrotoma californica,1,No,Marinas,Marinas,32.71,0.37406112
B18-10050,33.97037,-118.44776,7.1,m,0.37406112,1,9/18/2018,Tellina modesta,1,No,Marinas,Marinas,32.71,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Amphideutopus oculatus,16,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Scoletoma sp,9,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Tellina cadieni,9,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Mayerella acanthopoda,7,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Hartmanodes hartmanae,5,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Nephtys caecoides,4,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Tagelus affinis,4,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Leitoscoloplos pugettensis,3,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Theora lubrica,3,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Goniada littorea,2,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Malacoplax californiensis,2,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Laevicardium substriatum,1,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Nassarius tiarula,1,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Palaeonemertea,1,No,Marinas,Marinas,33.04,0.37406112
B18-10051,33.96463,-118.45383,6.7,m,0.37406112,1,9/18/2018,Pseudopolydora paucibranchiata,1,No,Marinas,Marinas,33.04,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Oligochaeta,307,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Dorvillea (Schistomeringos) longicornis,162,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Rudilemboides stenopropodus,77,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Grandidierella japonica,66,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Aoridae,58,Yes,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Cossura sp A,58,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Eochelidium sp A,57,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Zeuxo normani Cmplx,51,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Pista brevibranchiata,50,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Mediomastus sp,46,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Bipalponephtys cornuta,42,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Acuminodeutopus heteruropus,18,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Euchone limnicola,16,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Leitoscoloplos pugettensis,9,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Musculista senhousia,7,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Tubulanus polymorphus,7,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Caprella simia,6,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Theora lubrica,6,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Heteronemertea,5,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Alpheus sp,4,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Exogone lourei,4,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Paradexamine sp SD1,4,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Phtisica marina,4,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Paranthura japonica,3,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Philine auriformis,3,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Prionospio lighti,3,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Sphaeromatidae,3,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Haminoea vesicula,2,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Paranemertes californica,2,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Prionospio heterobranchia,2,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Prionospio jubata,2,No,Marinas,Marinas,34.7,0.37406112
B18-10052,33.773667,-118.24765,5.4,m,0.37406112,1,8/13/2018,Pseudopolydora paucibranchiata,2,No,Marinas,Marinas,34.7,0.37406112
