"stationid","sampledate","replicate","NumOfTaxa","NumOfMolluscTaxa","NumOfCrustaceanTaxa","CrustaceanAbun","M_insidiosumAbun","A_diegensisAbun","G_littoreaAbun","NIT"
"B08-6159",1-01-01,1,26,7,6,94,0,0,0,0
"B08-6161",1-01-01,1,19,4,8,48,0,0,0,0
"B08-6165",1-01-01,1,45,12,16,110,0,4,1,0
"B08-6168",1-01-01,1,22,4,12,85,0,0,0,0
"B08-6171",1-01-01,1,11,2,4,10,0,0,0,0
"B08-6172",1-01-01,1,52,9,16,82,0,1,5,-0.1
"B08-6173",1-01-01,1,40,11,11,43,0,22,0,0
"B08-6174",1-01-01,1,39,10,13,101,0,0,0,-0.1
"B08-6177",1-01-01,1,16,4,5,50,0,0,0,0
"B08-6179",1-01-01,1,50,13,17,137,0,2,0,-0.1
"B08-6180",1-01-01,1,32,5,12,150,0,0,0,-0.2
"B08-6181",1-01-01,1,24,4,7,27,0,0,0,-0.1
"B08-6189",1-01-01,1,20,3,4,179,0,0,0,-0.1
"B08-6192",1-01-01,1,15,3,4,408,24,0,0,-0.2
"B08-6197",1-01-01,1,21,6,7,1650,583,0,0,-0.2
"B08-6200",1-01-01,1,14,5,4,351,33,0,0,-0.2
"B08-6204",1-01-01,1,64,12,15,482,0,0,0,-0.1
"B08-6211",1-01-01,1,107,23,40,1855,3,0,0,-0.1
"B08-6212",1-01-01,1,66,8,15,385,0,1,2,-0.1
"B08-6213",1-01-01,1,54,13,13,238,1,2,0,0
"B08-6216",1-01-01,1,55,12,17,256,0,13,0,0
"B08-6217",1-01-01,1,48,10,17,359,0,0,0,0
"B08-6219",1-01-01,1,47,10,16,423,0,0,0,-0.1
"B08-6223",1-01-01,1,55,10,18,788,14,0,0,-0.1
"B08-6228",1-01-01,1,16,6,4,62,3,0,0,-0.2
"B08-6229",1-01-01,1,21,9,5,261,13,0,0,-0.2
"B08-6230",1-01-01,1,22,8,4,64,41,0,0,-0.2
"B08-6232",1-01-01,1,30,12,2,240,1,0,0,-0.2
"B08-6236",1-01-01,1,40,20,3,212,84,0,0,-0.2
"B08-6239",1-01-01,1,7,1,3,498,4,0,0,-0.2
"B08-6242",1-01-01,1,3,1,1,1,0,0,0,0
"B08-6243",1-01-01,1,16,5,3,238,15,0,0,-0.2
"B08-6244",1-01-01,1,3,0,0,0,0,0,0,-0.1
"B08-6245",1-01-01,1,11,5,1,86,0,0,0,-0.1
"B08-6250",1-01-01,1,12,7,1,1,0,0,0,0
"B08-6251",1-01-01,1,4,2,1,1,0,0,0,0
"B08-6252",1-01-01,1,7,3,1,3,0,0,0,-0.1
"B08-6253",1-01-01,1,53,18,15,1712,0,0,0,-0.1
"B08-6264",1-01-01,1,6,2,1,1,0,0,0,0
"B08-6269",1-01-01,1,18,4,2,4,0,0,0,-0.1
"B08-6270",1-01-01,1,14,4,0,0,0,0,0,-0.2
"B08-6271",1-01-01,1,12,6,0,0,0,0,0,0
"B08-6280",1-01-01,1,21,6,0,0,0,1,1,-0.1
"B08-6282",1-01-01,1,39,12,5,21,0,2,3,0
"B08-6288",1-01-01,1,29,6,4,12,0,0,0,0
"B08-6291",1-01-01,1,3,0,0,0,0,0,0,0
"B08-6294",1-01-01,1,69,13,15,65,1,6,0,0
"B08-6303",1-01-01,1,8,5,0,0,0,0,0,0
"B08-6308",1-01-01,1,17,6,3,48,1,0,0,0
"B08-6311",1-01-01,1,18,10,2,159,6,0,0,0
"B08-6314",1-01-01,1,11,5,3,24,3,0,0,0
"B08-6317",1-01-01,1,6,3,1,1,0,0,0,0
"B08-6320",1-01-01,1,15,1,2,5,0,0,0,-0.1
"B08-6325",1-01-01,1,42,10,12,104,2,0,0,0
"B08-6327",1-01-01,1,25,1,8,69,2,0,0,-0.1
"B08-6328",1-01-01,1,21,3,6,53,1,0,0,0
"B08-6335",1-01-01,1,55,15,13,181,0,0,1,-0.1
"B08-6343",1-01-01,1,52,15,8,79,0,0,0,-0.1
"B08-6344",1-01-01,1,25,9,3,17,0,0,0,0
"B08-6350",1-01-01,1,22,6,3,6,0,0,0,-0.1
"B08-6354",1-01-01,1,46,12,9,85,0,0,0,-0.2
"B08-6355",1-01-01,1,18,4,2,48,0,0,0,-0.1
"B08-6362",1-01-01,1,17,11,2,5,0,0,0,0
"B08-6363",1-01-01,1,32,9,5,67,0,0,0,-0.1
"B08-6372",1-01-01,1,36,8,8,36,0,3,4,-0.1
"B08-6375",1-01-01,1,23,5,3,301,203,0,0,-0.2
"B08-6382",1-01-01,1,12,2,4,16,0,0,0,-0.1
"B08-6383",1-01-01,1,51,16,11,201,0,0,0,0
"B08-6384",1-01-01,1,63,15,20,431,0,0,0,0
"B08-6386",1-01-01,1,87,21,7,24,0,0,0,0
"B08-6387",1-01-01,1,48,17,6,10,0,0,0,0
"B08-6402",1-01-01,1,37,12,6,12,0,0,0,0
"B08-6404",1-01-01,1,39,12,4,27,0,0,0,0
"B08-6405",1-01-01,1,51,13,10,94,0,0,0,0
"B08-6406",1-01-01,1,38,10,10,63,0,0,7,0
"B08-6407",1-01-01,1,55,12,9,36,0,0,0,0
"B08-6411",1-01-01,1,41,11,9,26,0,0,0,0
"B08-6413",1-01-01,1,64,17,13,177,0,0,0,0
"B08-6416",1-01-01,1,70,15,14,281,0,0,0,0
"B08-6419",1-01-01,1,83,15,11,29,0,0,0,0
"B08-6424",1-01-01,1,46,11,5,17,0,0,0,0
"B08-6428",1-01-01,1,60,12,16,404,0,0,0,0
"B08-6432",1-01-01,1,90,17,14,59,0,0,0,0
"B08-6436",1-01-01,1,83,19,17,96,0,0,4,0
"B08-6437",1-01-01,1,40,12,6,12,0,0,0,0
"B08-6438",1-01-01,1,52,11,7,19,0,0,0,-0.1
"B08-6442",1-01-01,1,52,14,1,1,0,0,19,-0.1
"B08-6443",1-01-01,1,56,11,8,29,0,0,0,0
"B08-6444",1-01-01,1,62,10,16,73,0,0,0,0
"B08-6446",1-01-01,1,32,3,8,18,0,0,0,0
"B08-6447",1-01-01,1,37,6,8,52,0,0,0,0
"B08-6448",1-01-01,1,38,11,4,16,0,0,0,0
"B08-6449",1-01-01,1,72,14,17,492,0,0,0,0
"B08-6450",1-01-01,1,108,15,14,69,0,0,0,0
"B08-6451",1-01-01,1,15,5,5,115,1,0,0,-0.1
"B08-6460",1-01-01,1,81,17,13,71,0,0,0,0
"B08-6462",1-01-01,1,50,10,9,29,0,0,0,0
"B08-6466",1-01-01,1,50,9,8,34,0,0,0,0
"B08-6467",1-01-01,1,46,6,9,25,0,0,0,0
"B08-6468",1-01-01,1,33,8,3,8,0,0,0,0
"B08-6472",1-01-01,1,47,11,7,14,0,0,0,0
"B08-6478",1-01-01,1,55,13,15,85,0,0,4,0
"B08-6479",1-01-01,1,28,7,7,37,0,0,0,0
"B08-6482",1-01-01,1,42,8,6,39,0,0,0,0
"B08-6485",1-01-01,1,60,15,14,75,0,0,0,-0.2
"B08-6487",1-01-01,1,30,3,6,16,0,0,0,0
"B08-6489",1-01-01,1,33,3,8,113,1,0,0,-0.2
"B08-6493",1-01-01,1,57,10,9,33,0,0,0,0
"B08-6500",1-01-01,1,9,1,0,0,0,0,0,-0.2
"B08-6508",1-01-01,1,47,13,13,361,0,0,0,0
"B08-6513",1-01-01,1,46,13,7,18,0,0,9,-0.1
"B08-6518",1-01-01,1,45,15,5,50,0,0,3,0
"B08-6520",1-01-01,1,39,8,7,753,0,0,0,-0.2
"B08-6527",1-01-01,1,21,4,5,26,0,0,0,0
"B08-6530",1-01-01,1,14,2,1,1,0,0,0,-0.1
"B08-6539",1-01-01,1,32,7,7,122,0,0,0,-0.2
"B08-6543",1-01-01,1,5,1,1,4,0,0,0,0
"B08-6546",1-01-01,1,40,5,5,117,0,0,0,0
"B08-6549",1-01-01,1,39,5,10,530,0,0,0,-0.2
"B08-6553",1-01-01,1,27,3,6,102,1,0,0,-0.1
"B08-6560",1-01-01,1,97,17,18,255,0,0,0,-0.1
"B08-6562",1-01-01,1,18,2,4,268,228,0,0,-0.2
"B08-6570",1-01-01,1,21,4,1,1,0,0,0,-0.1
"B08-6572",1-01-01,1,23,2,5,12,0,0,0,0
"B08-6649",1-01-01,1,18,0,3,7,0,0,0,0
"B08-6659",1-01-01,1,54,8,10,34,0,0,1,-0.2
"B08-6660",1-01-01,1,31,3,7,12,0,0,0,-0.1
"B08-6661",1-01-01,1,32,2,7,10,0,0,0,-0.1
"B08-7000",1-01-01,1,34,9,8,16,0,0,1,0
"B08-7002",1-01-01,1,108,15,26,121,0,0,0,0
"B08-7008",1-01-01,1,49,6,7,24,0,0,0,0
"B08-7009",1-01-01,1,94,17,20,88,0,0,0,0
"B08-7019",1-01-01,1,69,10,12,18,0,0,0,0
"B08-7021",1-01-01,1,42,9,7,18,0,0,0,0
"B08-7022",1-01-01,1,15,0,0,0,0,0,0,0
"B08-7024",1-01-01,1,35,7,6,9,0,0,9,0
"B08-7029",1-01-01,1,21,3,5,6,0,0,0,0
"B08-7032",1-01-01,1,75,10,15,31,0,0,0,0
"B08-7044",1-01-01,1,39,6,12,64,0,0,0,0
"B08-7045",1-01-01,1,26,4,4,16,0,0,0,0
"B08-7056",1-01-01,1,15,1,2,2,0,0,0,0
"B08-7064",1-01-01,1,13,2,2,5,0,0,0,0
"B08-7068",1-01-01,1,44,9,7,9,0,0,0,0
"B08-7069",1-01-01,1,15,1,1,4,0,0,0,0
"B08-7070",1-01-01,1,7,1,1,1,0,0,0,0
"B08-7079",1-01-01,1,12,0,2,5,0,0,0,0
"B08-7080",1-01-01,1,11,0,1,3,0,0,0,0
"B08-7081",1-01-01,1,41,3,4,7,0,0,0,0
"B08-7082",1-01-01,1,13,0,1,1,0,0,0,0
"B08-7091",1-01-01,1,29,7,7,19,0,0,0,0
"B08-7092",1-01-01,1,4,1,0,0,0,0,0,0
"B08-7093",1-01-01,1,34,9,8,16,0,0,0,0
"B08-7094",1-01-01,1,4,0,0,0,0,0,0,0
"B08-7096",1-01-01,1,12,1,4,5,0,0,0,0
"B08-7097",1-01-01,1,10,1,2,2,0,0,0,0
"B08-7098",1-01-01,1,42,6,4,4,0,0,0,0
"B08-7099",1-01-01,1,6,0,1,1,0,0,0,0
"B08-7100",1-01-01,1,10,1,0,0,0,0,0,0
"B08-7102",1-01-01,1,5,0,0,0,0,0,0,0
"B08-7104",1-01-01,1,8,2,0,0,0,0,0,0
"B08-7109",1-01-01,1,2,0,0,0,0,0,0,0
"B08-7111",1-01-01,1,8,1,1,1,0,0,0,0
"B08-7121",1-01-01,1,6,1,0,0,0,0,0,0
"B08-7122",1-01-01,1,37,8,8,18,0,0,0,0
"B08-7123",1-01-01,1,11,1,3,8,0,0,0,0
"B08-7126",1-01-01,1,5,0,1,1,0,0,0,0
"B08-7128",1-01-01,1,34,7,5,14,0,0,0,0
"B08-7145",1-01-01,1,71,14,12,40,0,0,0,0
"B08-7155",1-01-01,1,19,1,2,5,0,0,0,0
"B08-7158",1-01-01,1,32,5,3,3,0,0,0,0
"B08-7159",1-01-01,1,37,3,8,19,0,0,7,0
"B08-7165",1-01-01,1,48,5,5,10,0,0,0,-0.1
"B08-7166",1-01-01,1,59,5,13,30,0,0,0,0
"B08-7167",1-01-01,1,54,5,12,87,0,0,0,0
"B08-7168",1-01-01,1,10,1,2,7,0,0,0,0
"B08-7173",1-01-01,1,4,0,0,0,0,0,0,0
"B08-7174",1-01-01,1,15,1,5,9,0,0,0,0
"B08-7175",1-01-01,1,13,2,1,1,0,0,0,0
"B08-7185",1-01-01,1,60,12,7,12,0,0,0,0
"B08-7186",1-01-01,1,30,4,5,20,0,0,0,0
"B08-7193",1-01-01,1,5,1,0,0,0,0,0,0
"B08-7200",1-01-01,1,5,0,0,0,0,0,0,0
"B08-7206",1-01-01,1,7,2,0,0,0,0,0,0
"B08-7207",1-01-01,1,7,0,1,1,0,0,0,0
"B08-7208",1-01-01,1,62,6,14,84,0,0,0,0
"B08-7210",1-01-01,1,6,1,2,11,0,0,0,0
"B08-7212",1-01-01,1,2,0,0,0,0,0,0,0
"B08-7215",1-01-01,1,96,16,19,43,0,0,0,0
"B08-7231",1-01-01,1,50,7,15,40,0,0,1,0
"B08-7235",1-01-01,1,36,1,10,35,0,0,0,0
"B08-7236",1-01-01,1,16,2,1,1,0,0,0,0
"B08-7238",1-01-01,1,6,0,0,0,0,0,0,0
"B08-7241",1-01-01,1,12,1,5,7,0,0,0,0
"B08-7250",1-01-01,1,3,0,0,0,0,0,0,0
"B08-7251",1-01-01,1,12,0,1,1,0,0,0,0
"B08-7253",1-01-01,1,70,5,21,65,0,0,0,0
"B08-7269",1-01-01,1,83,11,20,111,0,0,0,0
"B08-7280",1-01-01,1,5,0,0,0,0,0,0,0
"B08-7287",1-01-01,1,80,8,18,90,0,0,0,0
"B08-7288",1-01-01,1,1,0,0,0,0,0,0,0
"B08-7293",1-01-01,1,61,12,7,14,0,0,0,0
"B08-7296",1-01-01,1,12,3,1,2,0,0,0,0
"B08-7298",1-01-01,1,82,13,17,106,0,0,0,0
"B08-7300",1-01-01,1,89,15,14,75,0,0,0,0
"B08-7301",1-01-01,1,110,17,22,167,0,0,0,0
"B08-7305",1-01-01,1,117,15,21,110,0,0,0,0
"B08-7312",1-01-01,1,68,11,12,38,0,0,0,0
"B08-7313",1-01-01,1,41,6,7,14,0,0,0,0
"B08-7320",1-01-01,1,10,2,0,0,0,0,0,-0.1
"B08-7321",1-01-01,1,110,17,15,80,0,0,0,0
"B08-7324",1-01-01,1,65,4,15,32,0,0,0,-0.1
"B08-7325",1-01-01,1,18,2,3,10,0,0,0,0
"B08-7355",1-01-01,1,55,10,14,70,0,0,0,-0.1
"B08-7395",1-01-01,1,52,7,4,6,0,0,0,0
"B08-7401",1-01-01,1,10,0,1,1,0,0,0,0
"B08-7403",1-01-01,1,62,10,7,17,0,1,0,0
"B08-7405",1-01-01,1,65,5,8,20,0,0,0,0
"B08-7408",1-01-01,1,51,2,15,86,0,0,0,0
"B08-7410",1-01-01,1,52,5,9,13,0,0,0,0
"B08-7412",1-01-01,1,1,0,0,0,0,0,0,0
"B08-7413",1-01-01,1,1,0,0,0,0,0,0,0
"B08-7415",1-01-01,1,75,18,12,40,0,0,0,0
"B08-7417",1-01-01,1,68,10,14,36,0,0,0,0
"B08-7426",1-01-01,1,74,9,19,52,0,0,0,-0.1
"B08-7428",1-01-01,1,24,3,3,26,0,0,0,0
"B08-7438",1-01-01,1,64,8,13,51,0,0,0,0
"B08-7439",1-01-01,1,77,13,17,88,0,0,0,0
"B08-7442",1-01-01,1,73,5,13,26,0,0,0,-0.1
"B08-7452",1-01-01,1,3,0,0,0,0,0,0,0
"B08-7456",1-01-01,1,55,6,8,33,0,0,0,0
"B08-7457",1-01-01,1,10,0,0,0,0,0,0,0
"B08-7458",1-01-01,1,76,17,10,36,0,1,0,0
"B08-7460",1-01-01,1,6,0,2,4,0,0,0,0
"B08-7461",1-01-01,1,83,6,16,98,0,0,0,0
"B08-7462",1-01-01,1,76,5,18,96,0,0,0,0
"B08-7474",1-01-01,1,53,10,9,26,0,0,1,0
"B08-7475",1-01-01,1,59,10,12,44,0,0,0,-0.1
"B08-7476",1-01-01,1,46,4,13,33,0,0,0,0
"B08-7477",1-01-01,1,32,5,7,19,0,0,0,0
"B08-7479",1-01-01,1,9,2,0,0,0,0,0,-0.1
"B08-7493",1-01-01,1,110,16,15,595,0,0,0,0
"B08-7494",1-01-01,1,18,3,3,20,0,0,0,0
"B08-7499",1-01-01,1,56,4,16,138,0,0,0,0
"B08-7506",1-01-01,1,72,12,16,301,0,0,0,0
"B08-7517",1-01-01,1,107,11,21,123,0,0,0,-0.1
"B08-7518",1-01-01,1,58,5,8,28,0,0,0,0
"B08-7520",1-01-01,1,83,6,17,114,0,0,0,-0.1
"B08-7522",1-01-01,1,78,7,20,96,0,0,1,0
"B08-7526",1-01-01,1,17,1,5,5,0,0,0,0
"B08-7527",1-01-01,1,121,20,24,262,0,0,0,0
"B08-7528",1-01-01,1,28,4,2,2,0,0,0,0
"B08-7529",1-01-01,1,54,7,10,41,0,0,0,-0.1
"B08-7534",1-01-01,1,49,4,16,76,0,0,0,0
"B08-7537",1-01-01,1,45,6,4,18,0,0,0,0
"B08-7540",1-01-01,1,77,6,20,151,0,0,0,0
"B08-7542",1-01-01,1,29,7,2,2,0,0,0,-0.1
"B08-7543",1-01-01,1,75,11,12,21,0,0,0,0
"B08-7544",1-01-01,1,64,9,8,26,0,0,0,-0.1
"B08-7549",1-01-01,1,76,10,15,29,0,0,0,0
"B08-7550",1-01-01,1,67,11,2,2,0,0,0,0
"B08-7551",1-01-01,1,74,9,14,25,0,0,0,0
"B08-7553",1-01-01,1,110,11,26,721,0,0,0,-0.1
"B08-7555",1-01-01,1,104,12,23,75,0,0,0,-0.1
"B08-7556",1-01-01,1,72,8,14,19,0,0,0,0
"B08-7557",1-01-01,1,60,5,15,53,0,0,2,0
"B08-7566",1-01-01,1,66,8,13,87,0,0,0,0
"B08-7572",1-01-01,1,76,5,30,253,0,0,1,0
"B08-7573",1-01-01,1,54,7,10,26,0,0,0,0
"B08-7583",1-01-01,1,36,6,1,1,0,0,0,0
"B08-7585",1-01-01,1,122,16,24,73,0,0,0,-0.1
"B08-7586",1-01-01,1,81,8,22,74,0,0,0,0
"B08-7588",1-01-01,1,68,5,19,76,0,0,0,-0.1
"B08-7590",1-01-01,1,25,3,6,9,0,0,0,0
"B08-7596",1-01-01,1,68,6,26,174,0,0,0,0
"B08-7604",1-01-01,1,60,7,17,144,0,0,0,0
"B08-7607",1-01-01,1,67,13,10,26,0,0,0,0
"B08-7609",1-01-01,1,3,0,0,0,0,0,0,0
"B08-7611",1-01-01,1,7,1,1,1,0,0,0,0
"B08-7615",1-01-01,1,11,2,2,3,0,0,0,0
"B08-7617",1-01-01,1,9,1,0,0,0,0,0,0
"B08-7619",1-01-01,1,61,9,11,38,0,0,0,0
"B08-7620",1-01-01,1,9,1,3,8,0,0,0,0
"B08-7624",1-01-01,1,74,5,21,114,0,0,0,0
"B08-7625",1-01-01,1,38,5,15,111,0,0,0,0
"B08-7629",1-01-01,1,88,13,23,160,0,0,0,0
"B08-7632",1-01-01,1,8,3,0,1,0,0,0,0
"B08-7633",1-01-01,1,0,0,0,0,0,0,0,0
"B08-7637",1-01-01,1,5,0,0,0,0,0,0,0
"B08-7645",1-01-01,1,48,6,8,14,0,0,0,0
"B08-7647",1-01-01,1,46,9,12,36,0,0,0,0
"B08-7651",1-01-01,1,30,3,4,9,0,0,0,0
"B08-7652",1-01-01,1,62,7,16,130,0,0,0,0
"B08-7654",1-01-01,1,46,6,10,20,0,0,0,0
"B08-7668",1-01-01,1,15,2,2,3,0,0,0,0
"B08-7671",1-01-01,1,32,5,10,34,0,0,0,0
"B08-7678",1-01-01,1,15,3,3,12,0,0,0,0
"B08-7681",1-01-01,1,28,8,4,78,0,0,0,0
"B08-7684",1-01-01,1,9,1,2,2,0,0,0,-0.1
"B08-7686",1-01-01,1,3,0,0,0,0,0,0,0
"B08-7688",1-01-01,1,20,4,3,12,0,0,0,0
"B08-7696",1-01-01,1,20,4,0,0,0,0,0,0
"B08-7697",1-01-01,1,9,1,1,1,0,0,0,0
"B08-7700",1-01-01,1,10,0,3,3,0,0,0,0
"B08-7701",1-01-01,1,23,3,2,2,0,0,0,0
"B08-7708",1-01-01,1,46,4,8,12,0,0,0,0
"B08-7709",1-01-01,1,8,0,1,1,0,0,0,0
"B08-7714",1-01-01,1,52,8,8,18,0,0,0,0
"B08-7716",1-01-01,1,14,1,2,2,0,0,0,0
"B08-7717",1-01-01,1,21,2,6,26,0,0,4,0
"B08-7727",1-01-01,1,30,4,7,17,0,0,0,0
"B08-7728",1-01-01,1,72,8,14,20,0,0,0,0
"B08-7732",1-01-01,1,29,5,4,9,0,0,0,0
"B08-7735",1-01-01,1,76,7,17,115,0,0,0,0
"B08-7741",1-01-01,1,87,7,20,135,0,0,0,0
"B08-7744",1-01-01,1,15,1,1,1,0,0,0,0
"B08-7750",1-01-01,1,25,6,2,2,0,0,0,0
"B08-7752",1-01-01,1,95,19,18,123,0,0,0,0
"B08-7753",1-01-01,1,27,2,10,110,0,0,0,0
"B13-8002",1-01-01,1,13,5,2,4,0,0,0,0
"B13-8008",1-01-01,1,25,11,3,1172,0,0,0,-0.2
"B13-8013",1-01-01,1,11,3,3,7,0,0,0,0
"B13-8014",1-01-01,1,30,2,8,171,0,0,0,-0.2
"B13-8017",1-01-01,1,36,7,8,21,0,0,0,-0.1
"B13-8018",1-01-01,1,19,3,6,58,0,0,0,-0.2
"B13-8020",1-01-01,1,29,8,3,3,0,0,0,0
"B13-8028",1-01-01,1,28,7,3,3,0,1,0,-0.1
"B13-8029",1-01-01,1,24,6,6,8,0,1,1,0
"B13-8030",1-01-01,1,14,3,1,1,0,0,0,0
"B13-8031",1-01-01,1,27,7,3,8,0,2,0,0
"B13-8033",1-01-01,1,35,6,8,9,0,0,0,-0.1
"B13-8036",1-01-01,1,21,4,3,3,0,0,0,0
"B13-8038",1-01-01,1,30,7,2,3,0,0,0,0
"B13-8040",1-01-01,1,51,6,14,61,0,0,0,-0.1
"B13-8043",1-01-01,1,45,6,14,96,0,0,0,-0.2
"B13-8045",1-01-01,1,23,7,1,1,0,1,0,0
"B13-8049",1-01-01,1,27,6,3,8,0,1,0,-0.1
"B13-8050",1-01-01,1,29,6,4,8,0,0,0,0
"B13-8052",1-01-01,1,26,9,1,3,0,2,0,0
"B13-8053",1-01-01,1,43,9,9,76,0,1,1,-0.1
"B13-8056",1-01-01,1,26,3,9,14,0,0,0,0
"B13-8058",1-01-01,1,21,9,1,1,0,3,0,-0.1
"B13-8060",1-01-01,1,24,9,1,1,0,3,0,-0.1
"B13-8064",1-01-01,1,4,0,0,0,0,0,0,0
"B13-8065",1-01-01,1,43,6,13,34,0,0,0,-0.1
"B13-8066",1-01-01,1,27,3,8,10,0,0,0,-0.1
"B13-8068",1-01-01,1,39,9,9,16,0,7,0,-0.1
"B13-8069",1-01-01,1,27,4,6,13,0,0,0,-0.1
"B13-8073",1-01-01,1,23,1,6,100,0,0,0,0
"B13-8074",1-01-01,1,26,4,6,13,0,0,0,-0.1
"B13-8075",1-01-01,1,29,3,9,11,0,0,0,-0.1
"B13-8076",1-01-01,1,37,9,6,14,0,0,0,-0.1
"B13-8077",1-01-01,1,30,7,3,3,0,0,0,-0.1
"B13-8078",1-01-01,1,37,8,5,55,0,24,0,0
"B13-8085",1-01-01,1,52,14,9,12,0,0,0,0
"B13-8087",1-01-01,1,46,7,11,46,0,1,0,-0.1
"B13-8090",1-01-01,1,27,5,4,13,0,0,0,-0.1
"B13-8093",1-01-01,1,47,10,13,122,0,31,0,0
"B13-8095",1-01-01,1,24,4,7,33,0,0,0,-0.1
"B13-8096",1-01-01,1,43,9,10,82,0,13,0,0
"B13-8098",1-01-01,1,50,13,13,170,0,28,0,0
"B13-8099",1-01-01,1,34,6,9,19,0,1,0,0
"B13-8100",1-01-01,1,31,5,8,22,0,3,0,-0.2
"B13-8102",1-01-01,1,41,10,9,55,0,1,0,-0.1
"B13-8105",1-01-01,1,32,6,7,28,0,1,0,-0.1
"B13-8106",1-01-01,1,50,9,12,133,0,0,0,-0.1
"B13-8108",1-01-01,1,39,8,12,105,0,0,0,-0.1
"B13-8109",1-01-01,1,38,8,9,87,0,24,0,0
"B13-8111",1-01-01,1,30,4,10,31,0,0,0,-0.1
"B13-8112",1-01-01,1,63,7,18,153,0,0,0,-0.2
"B13-8113",1-01-01,1,18,2,7,56,0,0,0,0
"B13-8116",1-01-01,1,46,5,16,108,0,0,0,-0.2
"B13-8117",1-01-01,1,14,3,3,69,0,0,0,0
"B13-8118",1-01-01,1,25,5,7,43,0,2,0,0
"B13-8121",1-01-01,1,26,6,11,115,0,0,0,-0.1
"B13-8122",1-01-01,1,51,7,11,180,0,22,1,0
"B13-8123",1-01-01,1,49,7,9,179,0,61,4,0
"B13-8124",1-01-01,1,53,9,20,115,0,3,0,0
"B13-8127",1-01-01,1,17,4,5,19,0,0,0,0
"B13-8128",1-01-01,1,18,4,7,18,0,0,0,0
"B13-8129",1-01-01,1,26,1,12,81,0,0,0,-0.2
"B13-8134",1-01-01,1,46,11,18,398,0,0,0,-0.2
"B13-8136",1-01-01,1,26,6,8,734,90,0,0,-0.2
"B13-8145",1-01-01,1,52,11,11,125,0,4,0,0
"B13-8146",1-01-01,1,88,12,26,372,1,0,0,-0.1
"B13-8151",1-01-01,1,79,17,33,638,0,0,0,-0.2
"B13-8152",1-01-01,1,41,10,10,37,0,0,0,-0.1
"B13-8156",1-01-01,1,66,11,20,411,0,1,0,0
"B13-8157",1-01-01,1,55,10,19,391,0,0,0,-0.1
"B13-8159",1-01-01,1,28,7,4,8,0,0,0,0
"B13-8160",1-01-01,1,43,9,15,161,0,0,0,-0.1
"B13-8163",1-01-01,1,46,6,20,292,0,0,0,-0.1
"B13-8169",1-01-01,1,9,4,1,1,0,0,0,-0.2
"B13-8176",1-01-01,1,17,8,3,88,1,0,0,-0.1
"B13-8176",1-01-01,2,19,8,2,23,0,0,0,-0.1
"B13-8179",1-01-01,1,7,1,3,70,0,0,0,0
"B13-8180",1-01-01,1,35,11,3,24,0,0,2,-0.1
"B13-8187",1-01-01,1,16,7,3,51,0,0,1,0
"B13-8188",1-01-01,1,3,0,2,2,0,0,0,0
"B13-8189",1-01-01,1,23,9,4,169,0,0,0,-0.1
"B13-8200",1-01-01,1,52,9,17,414,0,0,0,-0.2
"B13-8202",1-01-01,1,21,2,6,35,0,0,0,-0.1
"B13-8205",1-01-01,1,13,3,5,180,1,0,0,-0.1
"B13-8218",1-01-01,1,22,7,3,5,0,0,0,0
"B13-8219",1-01-01,1,20,2,2,2,0,0,0,-0.1
"B13-8222",1-01-01,1,20,3,3,3,0,0,0,0
"B13-8233",1-01-01,1,20,6,2,2,0,0,0,0
"B13-8236",1-01-01,1,24,4,1,1,0,1,0,0
"B13-8239",1-01-01,1,35,3,7,12,0,0,0,-0.1
"B13-8248",1-01-01,1,4,2,1,2,0,0,0,0
"B13-8250",1-01-01,1,9,4,1,1,0,0,0,0
"B13-8253",1-01-01,1,10,3,2,9,0,0,1,0
"B13-8259",1-01-01,1,12,2,2,5,0,0,0,0
"B13-8263",1-01-01,1,49,14,14,67,3,1,0,-0.1
"B13-8265",1-01-01,1,37,6,9,38,7,0,0,-0.2
"B13-8267",1-01-01,1,6,1,0,0,0,0,0,0
"B13-8269",1-01-01,1,25,4,4,11,0,0,0,0
"B13-8273",1-01-01,1,34,8,7,69,0,0,0,-0.1
"B13-8274",1-01-01,1,33,10,6,6,0,0,0,-0.1
"B13-8275",1-01-01,1,12,5,0,0,0,0,0,-0.1
"B13-8279",1-01-01,1,42,12,5,82,0,0,0,-0.1
"B13-8280",1-01-01,1,22,4,0,0,0,0,0,-0.1
"B13-8286",1-01-01,1,21,7,3,18,0,1,2,0
"B13-8287",1-01-01,1,25,5,3,6,0,0,5,0
"B13-8290",1-01-01,1,12,2,1,1,0,0,0,-0.1
"B13-8291",1-01-01,1,10,3,1,2,0,0,0,-0.2
"B13-8292",1-01-01,1,28,3,3,4,0,0,0,-0.2
"B13-8295",1-01-01,1,19,5,2,3,0,0,14,-0.1
"B13-8298",1-01-01,1,56,7,19,425,0,0,0,0
"B13-8301",1-01-01,1,33,5,10,149,0,0,1,-0.2
"B13-8302",1-01-01,1,59,16,5,33,0,0,0,0
"B13-8304",1-01-01,1,57,11,5,41,0,0,0,0
"B13-8306",1-01-01,1,45,14,16,527,0,0,0,-0.1
"B13-8308",1-01-01,1,48,7,7,51,0,0,0,0
"B13-8310",1-01-01,1,51,11,6,69,0,0,0,0
