"stationid","sampledate","replicate","NumOfTaxa","NumOfMolluscTaxa","NotomastusAbun","PctSensTaxa"
"B08-6402",1-01-01,1,40,12,0,20
"B08-6404",1-01-01,1,44,12,2,9.09090909090909
"B08-6405",1-01-01,1,54,13,1,16.6666666666667
"B08-6406",1-01-01,1,42,10,0,28.5714285714286
"B08-6407",1-01-01,1,57,12,1,17.5438596491228
"B08-6411",1-01-01,1,46,11,0,19.5652173913043
"B08-6413",1-01-01,1,66,17,1,27.2727272727273
"B08-6416",1-01-01,1,76,15,0,19.7368421052632
"B08-6419",1-01-01,1,92,15,1,18.4782608695652
"B08-6424",1-01-01,1,47,11,0,19.1489361702128
"B08-6428",1-01-01,1,64,12,0,31.25
"B08-6432",1-01-01,1,96,17,3,16.6666666666667
"B08-6436",1-01-01,1,85,19,2,25.8823529411765
"B08-6437",1-01-01,1,44,12,0,20.4545454545455
"B08-6438",1-01-01,1,57,11,1,15.7894736842105
"B08-6442",1-01-01,1,56,14,39,28.5714285714286
"B08-6443",1-01-01,1,63,11,1,11.1111111111111
"B08-6444",1-01-01,1,66,10,3,21.2121212121212
"B08-6446",1-01-01,1,34,3,0,17.6470588235294
"B08-6447",1-01-01,1,38,6,0,26.3157894736842
"B08-6448",1-01-01,1,41,11,0,12.1951219512195
"B08-6449",1-01-01,1,76,14,0,18.4210526315789
"B08-6450",1-01-01,1,115,15,2,16.5217391304348
"B08-6451",1-01-01,1,16,5,0,18.75
"B08-6460",1-01-01,1,85,17,8,15.2941176470588
"B08-6462",1-01-01,1,52,10,0,25
"B08-6466",1-01-01,1,53,9,1,7.54716981132075
"B08-6467",1-01-01,1,49,6,0,8.16326530612245
"B08-6468",1-01-01,1,34,8,0,8.82352941176471
"B08-6472",1-01-01,1,48,11,0,18.75
"B08-6478",1-01-01,1,56,13,3,26.7857142857143
"B08-6479",1-01-01,1,31,7,0,16.1290322580645
"B08-6482",1-01-01,1,47,8,0,8.51063829787234
"B08-6485",1-01-01,1,65,15,16,12.3076923076923
"B08-6487",1-01-01,1,33,3,0,6.06060606060606
"B08-6489",1-01-01,1,37,3,0,13.5135135135135
"B08-6493",1-01-01,1,63,10,1,7.93650793650794
"B08-6500",1-01-01,1,10,1,5,0
"B08-6508",1-01-01,1,52,13,34,13.4615384615385
"B08-6513",1-01-01,1,49,13,1,14.2857142857143
"B08-6518",1-01-01,1,48,15,0,18.75
"B08-6520",1-01-01,1,43,8,2,9.30232558139535
"B08-6527",1-01-01,1,23,4,0,13.0434782608696
"B08-6530",1-01-01,1,15,2,0,6.66666666666667
"B08-6539",1-01-01,1,33,7,69,12.1212121212121
"B08-6543",1-01-01,1,5,1,0,0
"B08-6546",1-01-01,1,44,5,5,27.2727272727273
"B08-6549",1-01-01,1,44,5,92,11.3636363636364
"B08-6553",1-01-01,1,30,3,2,13.3333333333333
"B08-6560",1-01-01,1,109,17,1,18.348623853211
"B08-6562",1-01-01,1,20,2,0,10
"B08-6570",1-01-01,1,25,4,0,8
"B08-6572",1-01-01,1,23,2,0,13.0434782608696
"B08-6649",1-01-01,1,18,0,2,11.1111111111111
"B08-6659",1-01-01,1,63,8,0,12.6984126984127
"B08-6660",1-01-01,1,32,3,0,15.625
"B08-6661",1-01-01,1,34,2,0,11.7647058823529
"B08-7000",1-01-01,1,37,9,0,29.7297297297297
"B08-7002",1-01-01,1,139,15,4,15.8273381294964
"B08-7008",1-01-01,1,73,6,6,15.0684931506849
"B08-7009",1-01-01,1,128,17,0,14.84375
"B08-7019",1-01-01,1,102,10,1,13.7254901960784
"B08-7021",1-01-01,1,49,9,0,30.6122448979592
"B08-7022",1-01-01,1,27,0,0,0
"B08-7024",1-01-01,1,42,7,0,28.5714285714286
"B08-7029",1-01-01,1,33,3,0,9.09090909090909
"B08-7032",1-01-01,1,85,10,1,20
"B08-7044",1-01-01,1,44,6,0,29.5454545454545
"B08-7045",1-01-01,1,46,4,0,10.8695652173913
"B08-7056",1-01-01,1,20,1,2,15
"B08-7064",1-01-01,1,25,2,1,8
"B08-7068",1-01-01,1,61,9,0,14.7540983606557
"B08-7069",1-01-01,1,27,1,0,7.40740740740741
"B08-7070",1-01-01,1,19,1,0,5.26315789473684
"B08-7079",1-01-01,1,30,0,0,10
"B08-7080",1-01-01,1,25,0,0,8
"B08-7081",1-01-01,1,62,3,0,8.06451612903226
"B08-7082",1-01-01,1,27,0,1,0
"B08-7091",1-01-01,1,30,7,0,26.6666666666667
"B08-7092",1-01-01,1,19,1,0,0
"B08-7093",1-01-01,1,56,9,0,16.0714285714286
"B08-7094",1-01-01,1,13,0,0,0
"B08-7096",1-01-01,1,29,1,0,10.3448275862069
"B08-7097",1-01-01,1,22,1,0,4.54545454545455
"B08-7098",1-01-01,1,64,6,1,12.5
"B08-7099",1-01-01,1,23,0,0,4.34782608695652
"B08-7100",1-01-01,1,22,1,0,4.54545454545455
"B08-7102",1-01-01,1,13,0,0,7.69230769230769
"B08-7104",1-01-01,1,18,2,0,5.55555555555556
"B08-7109",1-01-01,1,9,0,0,0
"B08-7111",1-01-01,1,17,1,0,5.88235294117647
"B08-7121",1-01-01,1,14,1,0,0
"B08-7122",1-01-01,1,56,8,0,19.6428571428571
"B08-7123",1-01-01,1,21,1,0,9.52380952380952
"B08-7126",1-01-01,1,12,0,0,16.6666666666667
"B08-7128",1-01-01,1,47,7,0,14.8936170212766
"B08-7145",1-01-01,1,91,14,0,16.4835164835165
"B08-7155",1-01-01,1,41,1,4,0
"B08-7158",1-01-01,1,44,5,0,15.9090909090909
"B08-7159",1-01-01,1,40,3,0,27.5
"B08-7165",1-01-01,1,62,5,0,19.3548387096774
"B08-7166",1-01-01,1,84,5,0,14.2857142857143
"B08-7167",1-01-01,1,78,5,1,16.6666666666667
"B08-7168",1-01-01,1,18,1,0,5.55555555555556
"B08-7173",1-01-01,1,16,0,0,0
"B08-7174",1-01-01,1,28,1,0,14.2857142857143
"B08-7175",1-01-01,1,33,2,0,6.06060606060606
"B08-7185",1-01-01,1,86,12,0,16.2790697674419
"B08-7186",1-01-01,1,54,4,4,9.25925925925926
"B08-7193",1-01-01,1,16,1,0,18.75
"B08-7200",1-01-01,1,17,0,0,0
"B08-7206",1-01-01,1,12,2,0,0
"B08-7207",1-01-01,1,18,0,0,5.55555555555556
"B08-7208",1-01-01,1,96,6,3,11.4583333333333
"B08-7210",1-01-01,1,29,1,0,10.3448275862069
"B08-7212",1-01-01,1,3,0,0,0
"B08-7215",1-01-01,1,115,16,1,16.5217391304348
"B08-7231",1-01-01,1,55,7,0,29.0909090909091
"B08-7235",1-01-01,1,71,1,0,5.63380281690141
"B08-7236",1-01-01,1,27,2,0,22.2222222222222
"B08-7238",1-01-01,1,20,0,0,10
"B08-7241",1-01-01,1,34,1,0,11.7647058823529
"B08-7250",1-01-01,1,12,0,0,0
"B08-7251",1-01-01,1,27,0,0,0
"B08-7253",1-01-01,1,94,5,0,18.0851063829787
"B08-7269",1-01-01,1,104,11,0,24.0384615384615
"B08-7280",1-01-01,1,8,0,0,0
"B08-7287",1-01-01,1,102,8,0,18.6274509803922
"B08-7288",1-01-01,1,2,0,0,0
"B08-7293",1-01-01,1,67,12,0,20.8955223880597
"B08-7296",1-01-01,1,22,3,0,4.54545454545455
"B08-7298",1-01-01,1,95,13,0,20
"B08-7300",1-01-01,1,105,15,0,25.7142857142857
"B08-7301",1-01-01,1,140,17,0,21.4285714285714
"B08-7305",1-01-01,1,138,15,2,18.8405797101449
"B08-7312",1-01-01,1,76,11,0,17.1052631578947
"B08-7313",1-01-01,1,47,6,0,25.531914893617
"B08-7320",1-01-01,1,15,2,0,0
"B08-7321",1-01-01,1,127,17,3,21.259842519685
"B08-7324",1-01-01,1,81,4,0,18.5185185185185
"B08-7325",1-01-01,1,23,2,0,4.34782608695652
"B08-7355",1-01-01,1,64,10,0,21.875
"B08-7395",1-01-01,1,62,7,0,12.9032258064516
"B08-7401",1-01-01,1,20,0,0,0
"B08-7403",1-01-01,1,93,10,0,12.9032258064516
"B08-7405",1-01-01,1,117,5,1,8.54700854700855
"B08-7408",1-01-01,1,95,2,2,10.5263157894737
"B08-7410",1-01-01,1,86,5,0,16.2790697674419
"B08-7412",1-01-01,1,1,0,0,0
"B08-7413",1-01-01,1,2,0,0,0
"B08-7415",1-01-01,1,107,18,2,14.9532710280374
"B08-7417",1-01-01,1,84,10,1,15.4761904761905
"B08-7426",1-01-01,1,97,9,1,19.5876288659794
"B08-7428",1-01-01,1,44,3,15,9.09090909090909
"B08-7438",1-01-01,1,97,8,2,12.3711340206186
"B08-7439",1-01-01,1,140,13,1,11.4285714285714
"B08-7442",1-01-01,1,96,5,2,9.375
"B08-7452",1-01-01,1,8,0,0,0
"B08-7456",1-01-01,1,80,6,7,13.75
"B08-7457",1-01-01,1,15,0,0,0
"B08-7458",1-01-01,1,99,17,1,14.1414141414141
"B08-7460",1-01-01,1,14,0,0,7.14285714285714
"B08-7461",1-01-01,1,108,6,0,18.5185185185185
"B08-7462",1-01-01,1,126,5,3,11.1111111111111
"B08-7474",1-01-01,1,59,10,0,25.4237288135593
"B08-7475",1-01-01,1,68,10,1,22.0588235294118
"B08-7476",1-01-01,1,75,4,0,14.6666666666667
"B08-7477",1-01-01,1,52,5,1,11.5384615384615
"B08-7479",1-01-01,1,26,2,0,11.5384615384615
"B08-7493",1-01-01,1,163,16,12,10.4294478527607
"B08-7494",1-01-01,1,24,3,0,12.5
"B08-7499",1-01-01,1,81,4,2,11.1111111111111
"B08-7506",1-01-01,1,141,12,0,9.21985815602837
"B08-7517",1-01-01,1,126,11,5,18.2539682539683
"B08-7518",1-01-01,1,85,5,1,15.2941176470588
"B08-7520",1-01-01,1,151,6,1,7.28476821192053
"B08-7522",1-01-01,1,83,7,1,24.0963855421687
"B08-7526",1-01-01,1,27,1,0,11.1111111111111
"B08-7527",1-01-01,1,186,20,2,8.60215053763441
"B08-7528",1-01-01,1,40,4,0,7.5
"B08-7529",1-01-01,1,80,7,0,11.25
"B08-7534",1-01-01,1,56,4,0,21.4285714285714
"B08-7537",1-01-01,1,65,6,1,6.15384615384615
"B08-7540",1-01-01,1,123,6,6,11.3821138211382
"B08-7542",1-01-01,1,40,7,0,5
"B08-7543",1-01-01,1,115,11,18,15.6521739130435
"B08-7544",1-01-01,1,88,9,2,13.6363636363636
"B08-7549",1-01-01,1,127,10,6,9.44881889763779
"B08-7550",1-01-01,1,93,11,0,11.8279569892473
"B08-7551",1-01-01,1,103,9,10,12.621359223301
"B08-7553",1-01-01,1,177,11,0,7.90960451977401
"B08-7555",1-01-01,1,150,12,18,12.6666666666667
"B08-7556",1-01-01,1,107,8,16,13.0841121495327
"B08-7557",1-01-01,1,69,5,0,20.2898550724638
"B08-7566",1-01-01,1,118,8,10,11.864406779661
"B08-7572",1-01-01,1,85,5,0,23.5294117647059
"B08-7573",1-01-01,1,77,7,6,10.3896103896104
"B08-7583",1-01-01,1,43,6,1,6.97674418604651
"B08-7585",1-01-01,1,186,16,2,10.752688172043
"B08-7586",1-01-01,1,131,8,1,11.4503816793893
"B08-7588",1-01-01,1,103,5,0,12.621359223301
"B08-7590",1-01-01,1,37,3,0,8.10810810810811
"B08-7596",1-01-01,1,77,6,0,24.6753246753247
"B08-7604",1-01-01,1,96,7,2,13.5416666666667
"B08-7607",1-01-01,1,92,13,0,13.0434782608696
"B08-7609",1-01-01,1,9,0,1,0
"B08-7611",1-01-01,1,14,1,0,7.14285714285714
"B08-7615",1-01-01,1,17,2,0,5.88235294117647
"B08-7617",1-01-01,1,20,1,0,5
"B08-7619",1-01-01,1,73,9,0,24.6575342465753
"B08-7620",1-01-01,1,18,1,0,5.55555555555556
"B08-7624",1-01-01,1,113,5,2,12.3893805309735
"B08-7625",1-01-01,1,63,5,0,14.2857142857143
"B08-7629",1-01-01,1,106,13,0,20.7547169811321
"B08-7632",1-01-01,1,14,3,0,14.2857142857143
"B08-7633",1-01-01,1,3,0,0,0
"B08-7637",1-01-01,1,13,0,0,0
"B08-7645",1-01-01,1,65,6,0,12.3076923076923
"B08-7647",1-01-01,1,52,9,0,23.0769230769231
"B08-7651",1-01-01,1,42,3,1,19.047619047619
"B08-7652",1-01-01,1,103,7,4,16.504854368932
"B08-7654",1-01-01,1,75,6,3,13.3333333333333
"B08-7668",1-01-01,1,23,2,1,8.69565217391304
"B08-7671",1-01-01,1,52,5,2,19.2307692307692
"B08-7678",1-01-01,1,27,3,0,11.1111111111111
"B08-7681",1-01-01,1,30,8,0,33.3333333333333
"B08-7684",1-01-01,1,14,1,0,7.14285714285714
"B08-7686",1-01-01,1,8,0,0,12.5
"B08-7688",1-01-01,1,25,4,0,16
"B08-7696",1-01-01,1,29,4,0,13.7931034482759
"B08-7697",1-01-01,1,16,1,0,6.25
"B08-7700",1-01-01,1,14,0,5,7.14285714285714
"B08-7701",1-01-01,1,35,3,0,17.1428571428571
"B08-7708",1-01-01,1,61,4,1,14.7540983606557
"B08-7709",1-01-01,1,20,0,0,10
"B08-7714",1-01-01,1,71,8,0,16.9014084507042
"B08-7716",1-01-01,1,23,1,0,8.69565217391304
"B08-7717",1-01-01,1,24,2,0,37.5
"B08-7727",1-01-01,1,48,4,2,14.5833333333333
"B08-7728",1-01-01,1,87,8,1,16.0919540229885
"B08-7732",1-01-01,1,35,5,0,20
"B08-7735",1-01-01,1,93,7,2,16.1290322580645
"B08-7741",1-01-01,1,112,7,3,16.0714285714286
"B08-7744",1-01-01,1,25,1,0,16
"B08-7750",1-01-01,1,30,6,0,13.3333333333333
"B08-7752",1-01-01,1,128,19,4,15.625
"B08-7753",1-01-01,1,30,2,0,20
"B13-8002",1-01-01,1,14,5,30,14.2857142857143
"B13-8008",1-01-01,1,26,11,0,11.5384615384615
"B13-8013",1-01-01,1,11,3,0,27.2727272727273
"B13-8014",1-01-01,1,31,2,0,16.1290322580645
"B13-8017",1-01-01,1,39,7,0,15.3846153846154
"B13-8018",1-01-01,1,21,3,0,23.8095238095238
"B13-8020",1-01-01,1,29,8,0,17.2413793103448
"B13-8028",1-01-01,1,29,7,0,6.89655172413793
"B13-8029",1-01-01,1,26,6,0,15.3846153846154
"B13-8030",1-01-01,1,14,3,0,14.2857142857143
"B13-8031",1-01-01,1,27,7,0,22.2222222222222
"B13-8033",1-01-01,1,40,6,0,17.5
"B13-8036",1-01-01,1,22,4,0,9.09090909090909
"B13-8038",1-01-01,1,31,7,0,16.1290322580645
"B13-8040",1-01-01,1,53,6,0,9.43396226415094
"B13-8043",1-01-01,1,49,6,0,18.3673469387755
"B13-8045",1-01-01,1,24,7,0,16.6666666666667
"B13-8049",1-01-01,1,28,6,0,17.8571428571429
"B13-8050",1-01-01,1,29,6,0,24.1379310344828
"B13-8052",1-01-01,1,26,9,0,15.3846153846154
"B13-8053",1-01-01,1,45,9,0,24.4444444444444
"B13-8056",1-01-01,1,27,3,0,14.8148148148148
"B13-8058",1-01-01,1,21,9,0,14.2857142857143
"B13-8060",1-01-01,1,25,9,0,8
"B13-8064",1-01-01,1,4,0,0,0
"B13-8065",1-01-01,1,45,6,0,8.88888888888889
"B13-8066",1-01-01,1,27,3,0,7.40740740740741
"B13-8068",1-01-01,1,39,9,0,20.5128205128205
"B13-8069",1-01-01,1,27,4,0,18.5185185185185
"B13-8073",1-01-01,1,25,1,0,12
"B13-8074",1-01-01,1,28,4,0,10.7142857142857
"B13-8075",1-01-01,1,29,3,0,6.89655172413793
"B13-8076",1-01-01,1,39,9,0,17.9487179487179
"B13-8077",1-01-01,1,30,7,0,20
"B13-8078",1-01-01,1,38,8,0,18.4210526315789
"B13-8085",1-01-01,1,54,14,0,25.9259259259259
"B13-8087",1-01-01,1,50,7,0,24
"B13-8090",1-01-01,1,27,5,0,11.1111111111111
"B13-8093",1-01-01,1,50,10,0,22
"B13-8095",1-01-01,1,25,4,0,12
"B13-8096",1-01-01,1,45,9,0,22.2222222222222
"B13-8098",1-01-01,1,52,13,0,21.1538461538462
"B13-8099",1-01-01,1,35,6,0,17.1428571428571
"B13-8100",1-01-01,1,32,5,0,12.5
"B13-8102",1-01-01,1,42,10,0,19.047619047619
"B13-8105",1-01-01,1,32,6,0,18.75
"B13-8106",1-01-01,1,53,9,0,20.7547169811321
"B13-8108",1-01-01,1,39,8,0,23.0769230769231
"B13-8109",1-01-01,1,40,8,0,27.5
"B13-8111",1-01-01,1,33,4,0,9.09090909090909
"B13-8112",1-01-01,1,77,7,0,5.19480519480519
"B13-8113",1-01-01,1,19,2,0,10.5263157894737
"B13-8116",1-01-01,1,51,5,15,21.5686274509804
"B13-8117",1-01-01,1,14,3,0,14.2857142857143
"B13-8118",1-01-01,1,26,5,0,7.69230769230769
"B13-8121",1-01-01,1,27,6,0,14.8148148148148
"B13-8122",1-01-01,1,53,7,0,20.7547169811321
"B13-8123",1-01-01,1,50,7,1,20
"B13-8124",1-01-01,1,56,9,1,12.5
"B13-8127",1-01-01,1,17,4,0,17.6470588235294
"B13-8128",1-01-01,1,18,4,0,11.1111111111111
"B13-8129",1-01-01,1,27,1,0,22.2222222222222
"B13-8134",1-01-01,1,50,11,8,8
"B13-8136",1-01-01,1,27,6,0,11.1111111111111
"B13-8145",1-01-01,1,56,11,1,14.2857142857143
"B13-8146",1-01-01,1,94,12,1,20.2127659574468
"B13-8151",1-01-01,1,93,17,0,13.9784946236559
"B13-8152",1-01-01,1,49,10,0,14.2857142857143
"B13-8156",1-01-01,1,70,11,0,18.5714285714286
"B13-8157",1-01-01,1,65,10,0,12.3076923076923
"B13-8159",1-01-01,1,28,7,0,25
"B13-8160",1-01-01,1,45,9,0,20
"B13-8163",1-01-01,1,48,6,0,18.75
"B13-8169",1-01-01,1,9,4,0,0
"B13-8176",1-01-01,1,18,8,0,11.1111111111111
"B13-8176",1-01-01,2,21,8,0,9.52380952380952
"B13-8179",1-01-01,1,7,1,2,14.2857142857143
"B13-8180",1-01-01,1,35,11,11,20
"B13-8187",1-01-01,1,16,7,0,37.5
"B13-8188",1-01-01,1,4,0,0,0
"B13-8189",1-01-01,1,23,9,0,13.0434782608696
"B13-8200",1-01-01,1,54,9,17,11.1111111111111
"B13-8202",1-01-01,1,21,2,0,14.2857142857143
"B13-8205",1-01-01,1,14,3,0,28.5714285714286
"B13-8218",1-01-01,1,25,7,1,8
"B13-8219",1-01-01,1,20,2,6,10
"B13-8222",1-01-01,1,20,3,0,15
"B13-8233",1-01-01,1,22,6,2,4.54545454545455
"B13-8236",1-01-01,1,25,4,3,8
"B13-8239",1-01-01,1,38,3,0,15.7894736842105
"B13-8248",1-01-01,1,5,2,0,0
"B13-8250",1-01-01,1,9,4,0,11.1111111111111
"B13-8253",1-01-01,1,11,3,0,9.09090909090909
"B13-8259",1-01-01,1,13,2,0,0
"B13-8263",1-01-01,1,50,14,1,22
"B13-8265",1-01-01,1,42,6,0,14.2857142857143
"B13-8267",1-01-01,1,6,1,1,16.6666666666667
"B13-8269",1-01-01,1,26,4,0,11.5384615384615
"B13-8273",1-01-01,1,34,8,1,17.6470588235294
"B13-8274",1-01-01,1,33,10,0,27.2727272727273
"B13-8275",1-01-01,1,14,5,0,21.4285714285714
"B13-8279",1-01-01,1,43,12,18,13.953488372093
"B13-8280",1-01-01,1,23,4,0,4.34782608695652
"B13-8286",1-01-01,1,21,7,0,4.76190476190476
"B13-8287",1-01-01,1,26,5,12,11.5384615384615
"B13-8290",1-01-01,1,12,2,0,8.33333333333333
"B13-8291",1-01-01,1,10,3,0,0
"B13-8292",1-01-01,1,31,3,0,9.67741935483871
"B13-8295",1-01-01,1,20,5,0,30
"B13-8298",1-01-01,1,62,7,0,11.2903225806452
"B13-8301",1-01-01,1,35,5,0,17.1428571428571
"B13-8302",1-01-01,1,65,16,1,10.7692307692308
"B13-8304",1-01-01,1,59,11,6,15.2542372881356
"B13-8306",1-01-01,1,47,14,26,29.7872340425532
"B13-8308",1-01-01,1,51,7,1,17.6470588235294
"B13-8310",1-01-01,1,57,11,2,19.2982456140351
"B13-8315",1-01-01,1,54,9,2,16.6666666666667
"B13-8316",1-01-01,1,55,9,1,20
"B13-8318",1-01-01,1,48,10,2,29.1666666666667
"B13-8319",1-01-01,1,47,13,0,34.0425531914894
"B13-8321",1-01-01,1,58,5,0,8.62068965517241
"B13-8322",1-01-01,1,46,11,2,8.69565217391304
"B13-8325",1-01-01,1,35,5,0,11.4285714285714
"B13-8326",1-01-01,1,46,7,0,23.9130434782609
"B13-8328",1-01-01,1,80,15,0,22.5
"B13-8333",1-01-01,1,58,13,0,17.2413793103448
"B13-8338",1-01-01,1,85,11,0,16.4705882352941
"B13-8340",1-01-01,1,34,7,0,14.7058823529412
"B13-8346",1-01-01,1,59,11,0,18.6440677966102
"B13-8347",1-01-01,1,56,11,0,19.6428571428571
"B13-8349",1-01-01,1,38,8,0,18.4210526315789
"B13-8350",1-01-01,1,55,8,0,18.1818181818182
"B13-8351",1-01-01,1,45,6,1,17.7777777777778
"B13-8353",1-01-01,1,3,0,0,0
"B13-8355",1-01-01,1,63,8,1,17.4603174603175
"B13-8356",1-01-01,1,61,12,0,8.19672131147541
"B13-8358",1-01-01,1,46,7,0,19.5652173913043
"B13-8360",1-01-01,1,97,29,2,22.680412371134
"B13-8363",1-01-01,1,69,11,0,14.4927536231884
"B13-8365",1-01-01,1,58,16,0,18.9655172413793
"B13-8367",1-01-01,1,37,5,4,37.8378378378378
"B13-8371",1-01-01,1,62,16,4,9.67741935483871
"B13-8372",1-01-01,1,23,3,0,13.0434782608696
"B13-8374",1-01-01,1,45,10,0,13.3333333333333
"B13-8375",1-01-01,1,61,13,4,18.0327868852459
"B13-8378",1-01-01,1,32,8,0,9.375
"B13-8382",1-01-01,1,67,15,0,14.9253731343284
"B13-8383",1-01-01,1,36,10,2,16.6666666666667
"B13-8384",1-01-01,1,37,7,0,10.8108108108108
"B13-8388",1-01-01,1,68,11,1,22.0588235294118
"B13-8389",1-01-01,1,40,15,0,22.5
"B13-8390",1-01-01,1,31,4,3,16.1290322580645
"B13-8391",1-01-01,1,20,1,0,10
"B13-8394",1-01-01,1,29,6,0,6.89655172413793
"B13-8396",1-01-01,1,53,9,0,7.54716981132075
"B13-8397",1-01-01,1,33,2,0,18.1818181818182
"B13-8399",1-01-01,1,42,7,0,23.8095238095238
"B13-8401",1-01-01,1,58,6,0,10.3448275862069
"B13-8403",1-01-01,1,4,0,0,0
"B13-8407",1-01-01,1,50,9,0,22
"B13-8409",1-01-01,1,26,6,0,11.5384615384615
"B13-8411",1-01-01,1,20,1,0,10
"B13-8413",1-01-01,1,14,3,2,0
"B13-8417",1-01-01,1,4,2,0,25
"B13-8419",1-01-01,1,14,4,1,7.14285714285714
"B13-8421",1-01-01,1,3,0,0,0
"B13-8425",1-01-01,1,36,8,44,16.6666666666667
"B13-8426",1-01-01,1,29,7,441,27.5862068965517
"B13-8430",1-01-01,1,14,4,0,21.4285714285714
"B13-8431",1-01-01,1,62,12,10,12.9032258064516
"B13-8500",1-01-01,1,53,9,0,16.9811320754717
"B13-9001",1-01-01,1,38,2,0,13.1578947368421
"B13-9002",1-01-01,1,43,5,1,9.30232558139535
"B13-9005",1-01-01,1,61,11,0,29.5081967213115
"B13-9007",1-01-01,1,170,22,26,17.0588235294118
"B13-9009",1-01-01,1,22,0,0,0
"B13-9011",1-01-01,1,69,4,4,11.5942028985507
"B13-9012",1-01-01,1,144,13,2,11.8055555555556
"B13-9019",1-01-01,1,55,3,0,10.9090909090909
"B13-9021",1-01-01,1,32,2,0,6.25
"B13-9022",1-01-01,1,49,4,2,10.2040816326531
"B13-9023",1-01-01,1,60,5,0,5
"B13-9025",1-01-01,1,94,6,1,14.8936170212766
"B13-9026",1-01-01,1,32,2,0,6.25
"B13-9028",1-01-01,1,41,3,0,2.4390243902439
"B13-9030",1-01-01,1,29,0,0,10.3448275862069
"B13-9033",1-01-01,1,32,1,0,15.625
"B13-9035",1-01-01,1,27,0,0,11.1111111111111
"B13-9036",1-01-01,1,22,0,0,9.09090909090909
"B13-9037",1-01-01,1,83,7,1,15.6626506024096
"B13-9040",1-01-01,1,54,8,0,27.7777777777778
"B13-9041",1-01-01,1,33,0,0,3.03030303030303
"B13-9047",1-01-01,1,29,0,0,3.44827586206897
"B13-9049",1-01-01,1,67,8,1,13.4328358208955
"B13-9055",1-01-01,1,43,5,1,16.2790697674419
"B13-9056",1-01-01,1,106,9,1,10.377358490566
"B13-9057",1-01-01,1,26,1,0,7.69230769230769
"B13-9059",1-01-01,1,96,9,3,17.7083333333333
"B13-9060",1-01-01,1,27,0,0,7.40740740740741
"B13-9068",1-01-01,1,32,4,1,6.25
"B13-9069",1-01-01,1,17,1,0,0
"B13-9071",1-01-01,1,36,0,0,0
"B13-9073",1-01-01,1,66,11,0,9.09090909090909
"B13-9074",1-01-01,1,17,1,0,5.88235294117647
"B13-9076",1-01-01,1,14,0,0,7.14285714285714
"B13-9080",1-01-01,1,46,6,0,23.9130434782609
"B13-9084",1-01-01,1,16,1,0,6.25
"B13-9085",1-01-01,1,21,2,0,4.76190476190476
"B13-9087",1-01-01,1,92,5,0,18.4782608695652
"B13-9091",1-01-01,1,36,5,0,11.1111111111111
"B13-9092",1-01-01,1,71,9,1,4.22535211267606
"B13-9093",1-01-01,1,24,0,0,0
"B13-9095",1-01-01,1,27,1,0,3.7037037037037
"B13-9099",1-01-01,1,23,0,0,8.69565217391304
"B13-9100",1-01-01,1,120,10,10,6.66666666666667
"B13-9104",1-01-01,1,87,6,0,14.9425287356322
"B13-9105",1-01-01,1,86,10,0,12.7906976744186
"B13-9106",1-01-01,1,31,2,0,12.9032258064516
"B13-9107",1-01-01,1,19,1,0,10.5263157894737
"B13-9109",1-01-01,1,12,0,0,8.33333333333333
"B13-9111",1-01-01,1,75,8,0,10.6666666666667
"B13-9121",1-01-01,1,58,10,0,27.5862068965517
"B13-9122",1-01-01,1,50,6,0,20
"B13-9125",1-01-01,1,54,5,0,11.1111111111111
"B13-9129",1-01-01,1,83,8,0,10.8433734939759
"B13-9130",1-01-01,1,73,8,0,12.3287671232877
"B13-9131",1-01-01,1,80,6,2,12.5
"B13-9132",1-01-01,1,14,0,0,7.14285714285714
"B13-9133",1-01-01,1,18,1,0,0
"B13-9135",1-01-01,1,27,3,0,3.7037037037037
"B13-9137",1-01-01,1,22,0,0,9.09090909090909
"B13-9148",1-01-01,1,29,0,0,0
"B13-9149",1-01-01,1,20,1,0,5
"B13-9150",1-01-01,1,77,5,0,14.2857142857143
"B13-9151",1-01-01,1,27,0,0,0
"B13-9152",1-01-01,1,116,12,0,16.3793103448276
"B13-9155",1-01-01,1,5,0,0,0
"B13-9159",1-01-01,1,89,12,0,20.2247191011236
"B13-9160",1-01-01,1,25,0,0,8
"B13-9161",1-01-01,1,87,8,4,17.2413793103448
"B13-9163",1-01-01,1,26,2,0,11.5384615384615
"B13-9166",1-01-01,1,94,14,0,17.0212765957447
"B13-9170",1-01-01,1,30,2,0,6.66666666666667
"B13-9171",1-01-01,1,64,4,0,23.4375
"B13-9173",1-01-01,1,71,9,0,16.9014084507042
"B13-9174",1-01-01,1,23,1,0,4.34782608695652
"B13-9177",1-01-01,1,106,14,1,19.811320754717
"B13-9178",1-01-01,1,29,3,0,3.44827586206897
"B13-9179",1-01-01,1,46,5,0,8.69565217391304
"B13-9185",1-01-01,1,107,8,1,12.1495327102804
"B13-9186",1-01-01,1,113,12,1,17.6991150442478
"B13-9190",1-01-01,1,17,0,0,0
"B13-9192",1-01-01,1,95,12,0,23.1578947368421
"B13-9193",1-01-01,1,70,9,1,5.71428571428571
"B13-9194",1-01-01,1,104,13,1,23.0769230769231
"B13-9197",1-01-01,1,38,2,1,13.1578947368421
"B13-9199",1-01-01,1,127,10,0,22.0472440944882
